brand,id,mois,prot,fat,ash,sodium,carb,cal
A,14069,27.82,21.43,44.87,5.11,1.77,0.77,4.93
A,14053,28.49,21.26,43.89,5.34,1.79,1.02,4.84
A,14025,28.35,19.99,45.78,5.08,1.63,0.8,4.95
A,14016,30.55,20.15,43.13,4.79,1.61,1.38,4.74
A,14005,30.49,21.28,41.65,4.82,1.64,1.76,4.67
A,14075,31.14,20.23,42.31,4.92,1.65,1.4,4.67
A,14082,31.21,20.97,41.34,4.71,1.58,1.77,4.63
A,14097,28.76,21.41,41.6,5.28,1.75,2.95,4.72
A,14117,28.22,20.48,45.1,5.02,1.71,1.18,4.93
A,14133,27.72,21.19,45.29,5.16,1.66,0.64,4.95
A,14101,27.35,21.2,45.59,4.94,1.65,0.92,4.98
A,14108,26.98,21.2,45.03,5.15,1.67,1.64,4.97
A,14164,28.7,20,45.12,4.93,1.56,1.25,4.91
A,14154,30.91,19.65,42.45,4.81,1.65,2.81,4.72
A,24005,30.91,20.77,42.03,4.9,1.61,1.39,4.67
A,24026,30.83,17.88,44.33,5.26,1.76,1.7,4.77
A,24094,32.73,20.06,39.74,5.24,1.69,2.23,4.47
A,24108,34.58,17.53,40.87,5.05,1.61,1.97,4.46
A,24102,31.8,20.35,40.44,5.43,1.61,1.98,4.53
A,24082,31.02,19.05,42.29,5.27,1.71,2.37,4.66
A,34017,27.02,19.56,47.2,4.95,1.65,1.27,5.08
A,34020,27.78,20.01,45.59,4.97,1.7,1.65,4.97
A,24136,30.88,20.58,42.26,4.96,1.63,1.32,4.68
A,24122,32.2,19.25,43.42,4.62,1.5,0.51,4.7
A,24115,33.19,18.05,41.88,5.22,1.7,1.66,4.56
A,34012,30.43,19.78,44.2,4.8,1.61,0.79,4.8
A,34006,28.93,19.99,45.2,4.78,1.62,1.1,4.91
A,24146,30.41,18.71,43.99,4.86,1.62,2.03,4.79
A,24138,29.62,21.1,43.37,5.05,1.69,0.86,4.78
B,14015,49.57,13.7,29.07,3.62,1.1,4.04,3.33
B,14006,52.68,14.38,25.72,3.26,0.93,3.96,3.05
B,14024,48.53,13.14,30.38,3.55,0.99,4.4,3.44
B,14052,50.19,13.78,28.39,3.56,1,4.08,3.27
B,14062,50.67,13.21,27.66,3.64,1,4.82,3.21
B,14047,49.99,13.35,29.2,3.52,1.05,3.94,3.32
B,14074,50.72,12.93,29.88,3.6,1.03,2.87,3.32
B,14083,50.81,12.56,29.95,2.99,0.81,3.69,3.35
B,14094,54.08,13.28,25.25,3.1,0.8,4.29,2.98
B,14124,51.9,14.27,24.92,3.85,1.06,5.06,3.02
B,24019,50.33,13.96,29.25,3.42,0.96,3.04,3.31
B,24012,49.69,13.63,29.59,3.41,0.98,3.68,3.36
B,14132,51.12,14.02,27.37,3.71,1.11,3.78,3.18
B,14146,49.77,13.24,28.91,3.59,1.06,4.49,3.31
B,14149,54.96,14.26,22.99,3.19,0.9,4.6,2.82
B,14161,55.11,14.87,21.9,3.29,0.86,4.83,2.76
B,14113,54.12,14.06,24.95,3.14,0.82,3.73,2.96
B,24008,49.34,13.79,29.57,3.52,0.95,3.78,3.36
B,24029,50.65,13.14,28.79,3.73,1.09,3.69,3.26
B,24045,52.46,14.18,24.6,3.57,1.12,5.19,2.99
B,24040,49.96,13.4,28.84,3.48,0.98,4.32,3.3
B,24093,49.57,13.17,29.39,3.59,1.06,4.28,3.35
B,24083,49.34,13.06,29.46,3.51,1.04,4.63,3.36
B,24049,50.87,13.85,27.64,3.71,1.1,3.93,3.2
B,24101,51.03,13.9,27.56,3.73,1.08,3.78,3.19
B,34011,53.98,14.05,24.73,3.32,0.92,3.92,2.94
B,24125,52.23,13.64,27.04,3.57,0.98,3.52,3.12
B,24145,51.74,13.95,27.75,3.6,1.04,2.96,3.17
B,24151,51.52,13.72,28.28,3.62,1.05,2.86,3.21
B,34005,51.86,13.13,28.82,2.94,0.8,3.25,3.25
B,24118,51.75,13.18,28.38,3.04,0.86,3.65,3.23
